date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2023-03-21,1514,9301758,377781760,40.15,41.4,40.0,40.5,0.7,5711
2023-03-22,1514,5424772,216914354,41.0,41.2,39.55,39.55,-0.95,3595
2023-03-23,1514,2808259,109860280,39.15,39.4,38.75,39.25,-0.3,2001
2023-03-24,1514,2723696,106832687,39.6,39.6,38.8,39.4,0.15,1890
2023-03-27,1514,2376342,93600650,39.45,39.8,38.9,39.05,-0.35,1735
2023-03-28,1514,2629071,101180954,39.1,39.25,38.15,38.3,-0.75,1815
2023-03-29,1514,1407965,54105649,38.6,38.9,38.15,38.2,-0.1,1033
2023-03-30,1514,1853175,70995621,38.6,38.6,38.15,38.55,0.35,1113
2023-03-31,1514,1944115,74067194,38.55,38.55,38.0,38.05,-0.5,1449
2023-04-06,1514,1859801,70936959,38.1,38.6,37.6,38.35,0.3,1455
2023-04-07,1514,9227203,365232785,38.9,40.2,38.6,39.85,1.5,5521
2023-04-10,1514,13529408,547568668,40.1,41.3,39.65,40.2,0.35,7469
2023-04-11,1514,27764960,1169779799,40.5,43.6,40.5,42.0,1.8,16625
2023-04-12,1514,43032463,1928591618,42.8,46.2,42.8,46.2,4.2,22189
2023-04-13,1514,51501013,2549615249,48.0,50.8,47.4,50.8,4.6,26237
2023-04-14,1514,46053179,2336887750,51.0,51.7,50.0,50.7,-0.1,21870
2023-04-17,1514,31533845,1662014639,53.5,54.5,51.3,51.5,0.8,16839
2023-04-18,1514,16627968,855832289,51.9,52.8,50.3,50.5,-1.0,9805
2023-04-19,1514,13694961,709743296,51.3,53.0,51.0,51.1,0.6,8301
2023-04-20,1514,8451885,427987971,51.1,51.8,50.0,50.0,-1.1,5940
2023-04-21,1514,10899217,532217793,50.5,50.8,47.7,48.1,-1.9,6856
2023-04-24,1514,9664895,474584612,48.4,49.8,48.2,49.1,1.0,5829
2023-04-25,1514,7529536,363050224,48.8,49.8,47.05,48.15,-0.95,5072
2023-04-26,1514,5017337,238911481,48.0,48.4,46.75,47.8,-0.35,3442
2023-04-27,1514,4976905,236865719,48.1,48.25,46.6,47.75,-0.05,3455
2023-04-28,1514,5780842,279812582,48.5,48.95,47.55,48.6,0.85,4096
